priority,folder,name,chars,note
OCR_probable_escaneado,1.- Yara,"Vehículo Yara (Prius, placa 12N779).pdf",24,24 car.
OCR_probable_escaneado,Actividades M1,Ejercicio M1.pdf,2,2 car.
OCR_probable_escaneado,Actividad M2,Brujula de las emociones DHD .pdf,2,2 car.
OCR_probable_escaneado,Diplomado Fertirriego Intagri-Almeria,24.2.1 Fertirriego en frutillas (Garrocho).pdf,14,14 car.
OCR_probable_escaneado,Fertirriego varios cultivos,09. Fertirriego en Esparrago (Ramirez) (3).pdf,8,8 car.
OCR_sin_texto,Taller fertirriego,14. Ejemplo resuelto en los capitulos de N P K.pptx,,No se encontró texto extraíble (puede ser escaneado o solo imágenes).
OCR_sin_texto,Modulo 8 Administración de tiempo y calidad de vida,MODULO 8 - video s  covey.pptx,,No se encontró texto extraíble (puede ser escaneado o solo imágenes).
OCR_probable_escaneado,"Informacion Profesional, Tecnica y Cursos",Solucion nutritiva Tomate.pdf,2,2 car.
OCR_probable_escaneado,"Informacion Profesional, Tecnica y Cursos",Tabal periodica del Excel.pdf,2,2 car.
OCR_probable_escaneado,AGAVE,Extraccion nutrimental agave.pdf,2,2 car.
OCR_probable_escaneado,Análisis de agua e interpretación,Análisis de agua (RAS).pdf,12,12 car.
OCR_probable_escaneado,Análisis de agua e interpretación,Interpretación CE en agua y equivalencias.pdf,4,4 car.
OCR_probable_escaneado,Análisis de suelo e interpretación,CIC de acuerdo a la textura de suelo.pdf,2,2 car.
OCR_probable_escaneado,Análisis de suelo e interpretación,Clasificación de suelos.pdf,2,2 car.
OCR_probable_escaneado,Análisis de suelo e interpretación,Cálculos enmiendas.pdf,4,4 car.
OCR_probable_escaneado,Análisis de suelo e interpretación,Clasificación y Taxonomía de suelo.pdf,2,2 car.
OCR_probable_escaneado,Análisis de suelo e interpretación,Interpretación análisis de suelo.pdf,8,8 car.
OCR_probable_escaneado,Análisis de suelo e interpretación,Mineralizacion e inmobilizacion del nitrógeno MO.pdf,2,2 car.
OCR_probable_escaneado,Análisis de suelo e interpretación,Rangos diferentes metodos de P.pdf,2,2 car.
OCR_probable_escaneado,Análisis de suelo e interpretación,Propiedades físicas y químicas del suelo.pdf,22,22 car.
